"Date","Price","Open","High","Low","Change %"
"Jul 17, 2019","6.3800","6.4059","6.4143","6.3545","-0.37%"
"Jul 16, 2019","6.4035","6.4317","6.4454","6.3763","-0.47%"
"Jul 15, 2019","6.4337","6.4477","6.4656","6.4186","-0.21%"
"Jul 12, 2019","6.4470","6.3955","6.5106","6.3792","0.97%"
"Jul 11, 2019","6.3849","6.3824","6.4196","6.3614","0.02%"
"Jul 10, 2019","6.3838","6.4215","6.4637","6.3785","-0.64%"
"Jul 09, 2019","6.4247","6.4371","6.4474","6.3577","-0.13%"
"Jul 08, 2019","6.4332","6.3186","6.5054","6.3152","1.82%"
"Jul 05, 2019","6.3183","6.3143","6.3433","6.2843","0.06%"
"Jul 04, 2019","6.3143","6.3355","6.3509","6.2858","-0.46%"
"Jul 03, 2019","6.3437","6.3825","6.4034","6.3176","-0.56%"
"Jul 02, 2019","6.3792","6.3737","6.4421","6.3465","0.03%"
"Jul 01, 2019","6.3771","6.5891","6.5914","6.3723","-3.17%"
"Jun 28, 2019","6.5856","6.5651","6.6026","6.5370","0.34%"
"Jun 27, 2019","6.5631","6.5643","6.5903","6.5382","-0.04%"
"Jun 26, 2019","6.5659","6.5892","6.6093","6.5290","-0.31%"
"Jun 25, 2019","6.5865","6.6211","6.6450","6.5436","-0.52%"
"Jun 24, 2019","6.6211","6.6137","6.6365","6.4872","0.05%"
"Jun 21, 2019","6.6178","6.5059","6.6293","6.4871","1.66%"
"Jun 20, 2019","6.5096","6.4973","6.5941","6.4581","0.13%"
"Jun 19, 2019","6.5014","6.5256","6.6313","6.4988","-0.34%"
"Jun 18, 2019","6.5237","6.5908","6.6113","6.5057","-0.98%"
"Jun 17, 2019","6.5885","6.6223","6.6521","6.5605","-0.40%"
"Jun 14, 2019","6.6150","6.6145","6.6971","6.5784","-0.04%"
"Jun 13, 2019","6.6175","6.5614","6.6620","6.5529","0.92%"
"Jun 12, 2019","6.5569","6.5644","6.6113","6.5251","-0.19%"
"Jun 11, 2019","6.5695","6.5350","6.6143","6.5030","0.55%"
"Jun 10, 2019","6.5338","6.6030","6.6259","6.5024","-1.13%"
"Jun 07, 2019","6.6083","6.5139","6.6231","6.5123","1.39%"
"Jun 06, 2019","6.5176","6.4390","6.5430","6.4157","1.35%"
"Jun 05, 2019","6.4307","6.4981","6.5221","6.3919","-1.16%"
"Jun 04, 2019","6.5064","6.5615","6.6062","6.4638","-0.79%"
"Jun 03, 2019","6.5579","6.5256","6.5933","6.5023","0.41%"
"May 31, 2019","6.5309","6.5422","6.5959","6.4765","-0.16%"
"May 30, 2019","6.5416","6.6906","6.7152","6.5132","-2.25%"
"May 29, 2019","6.6920","6.7308","6.7613","6.6801","-0.59%"
"May 28, 2019","6.7319","6.7866","6.8072","6.6932","-0.85%"
"May 27, 2019","6.7896","6.8175","6.8474","6.7499","-0.38%"
"May 24, 2019","6.8152","6.8179","6.8591","6.7581","-0.01%"
"May 23, 2019","6.8161","6.7923","6.8570","6.7825","0.19%"
"May 22, 2019","6.8032","6.7676","6.8379","6.7478","0.72%"
"May 21, 2019","6.7549","6.7257","6.7829","6.6958","0.33%"
"May 20, 2019","6.7327","6.7658","6.7914","6.6964","-0.36%"
"May 17, 2019","6.7571","6.7522","6.8106","6.7212","0.02%"
"May 16, 2019","6.7556","6.7229","6.7766","6.7134","0.50%"
"May 15, 2019","6.7219","6.7588","6.8277","6.7099","-0.59%"
"May 14, 2019","6.7618","6.8037","6.8737","6.7030","-0.58%"
"May 13, 2019","6.8011","6.7297","6.8928","6.6893","1.14%"
"May 10, 2019","6.7242","6.9577","6.9737","6.6961","-3.19%"
"May 09, 2019","6.9456","6.9184","7.0224","6.8845","0.32%"
"May 08, 2019","6.9231","6.8844","6.9405","6.8754","0.57%"
"May 07, 2019","6.8837","6.8097","6.9488","6.7965","1.08%"
"May 06, 2019","6.8103","6.6819","6.8861","6.6593","1.92%"
"May 03, 2019","6.6818","6.6773","6.7012","6.6412","0.22%"
"May 02, 2019","6.6674","6.6823","6.7012","6.6528","-0.19%"
